City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Saubara,BR,78.73,few clouds,-12.7375,-38.7686,Kanto do Sol
9,Mahebourg,MU,71.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Marsabit,KE,72.18,few clouds,2.3284,37.9899,Chicho Hotel
19,Hithadhoo,MV,81.66,clear sky,-0.6,73.0833,Scoop Guest House
20,Belmonte,BR,78.64,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
21,Mar Del Plata,AR,71.62,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Jamestown,US,76.01,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Ugoofaaru,MV,81.36,clear sky,5.6667,73.0,Ungoofaaru Inn
30,Pointe-Noire,CG,74.8,overcast clouds,-4.7761,11.8635,Kactus Lodge
40,Caravelas,BR,80.28,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
43,Sao Jose Da Coroa Grande,BR,78.91,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
46,Touros,BR,81.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
49,Camacha,PT,72.82,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
50,Ormara,PK,79.88,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
53,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
54,Maragogi,BR,77.99,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
55,Cockburn Town,TC,84.06,few clouds,21.4612,-71.1419,Osprey Beach Hotel
56,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Dingle,PH,75.02,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
63,Marseille,FR,72.59,clear sky,43.3333,5.5,"The Originals City, Hôtel Côté Sud, Marseille Est (Inter-Hotel)"
64,Shetpe,KZ,71.56,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
67,Kousseri,CM,76.42,overcast clouds,12.0769,15.0306,Le Pilotis
68,Bouna,CI,74.26,light rain,9.2667,-3.0,Hôtel lababa
72,Teghra,IN,82.29,overcast clouds,25.4833,85.95,Slt Shop
74,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
79,Lagoa,PT,73.09,light rain,39.05,-27.9833,Casa Das Faias
82,Laguna,US,76.33,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
83,Mocuba,MZ,71.33,few clouds,-16.8392,36.9856,Phama Lodge
88,Cefalu,IT,83.53,scattered clouds,38.0386,14.0229,Hotel La Giara
90,Suleja,NG,74.39,moderate rain,9.1758,7.1808,Capy Motel
92,General Roca,AR,79.63,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
94,Chinsali,ZM,71.65,few clouds,-10.5414,32.0816,Chisakatu Guest House
95,San-Pedro,CI,76.14,overcast clouds,4.7485,-6.6363,Hotel Maria
97,Mumbwa,ZM,70.92,clear sky,-14.9783,27.0619,Mumbwa Motel
101,Sao Filipe,CV,80.24,broken clouds,14.8961,-24.4956,Hotel Xaguate
102,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
104,Guiberoua,CI,73.47,moderate rain,6.2392,-6.1727,HOTEL LAGOTCHÉ
105,Aguimes,ES,77.63,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
106,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
107,Hwange,ZW,75.79,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
110,Luau,AO,79.45,overcast clouds,-10.7073,22.2247,Kimbo Hotel
117,Barkly West,ZA,78.08,overcast clouds,-28.5354,24.5215,Stafford Parker Guest House
120,Souillac,MU,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
123,Morondava,MG,74.77,few clouds,-20.2833,44.2833,La Case Bambou
124,Uige,AO,71.92,light rain,-7.6087,15.0613,Hotel Catraio
126,Kavaratti,IN,80.82,scattered clouds,10.5669,72.642,Green leaf
127,Ondjiva,AO,76.35,clear sky,-17.0667,15.7333,COMBUESA
130,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
131,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
135,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
136,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
137,Takoradi,GH,76.82,broken clouds,4.8845,-1.7554,Raybow International Hotel
138,Ponta Do Sol,PT,82.0,clear sky,32.6667,-17.1,Hotel do Campo
141,Lexington,US,84.69,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
142,Nantucket,US,71.74,clear sky,41.2835,-70.0995,Jared Coffin House
146,Bambous Virieux,MU,71.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
148,Arrecife,ES,76.98,scattered clouds,28.963,-13.5477,Hotel Lancelot
153,Marzuq,YE,81.57,overcast clouds,14.4,46.4667,حيد القفلة
156,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
161,Cotonou,BJ,78.78,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
162,Cordoba,AR,80.42,broken clouds,-31.4135,-64.1811,Hotel Sussex
163,Marquette,US,74.82,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
165,Kalmunai,LK,80.44,broken clouds,7.4167,81.8167,VS Villa
167,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
168,Arona,ES,72.12,few clouds,28.0996,-16.681,Paradise Court
169,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
172,Yokadouma,CM,70.23,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
174,Sete Lagoas,BR,83.48,scattered clouds,-19.4658,-44.2467,Sete Lagoas Residence Hotel Centro de Convenções
176,Dwarka,IN,81.1,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
177,Karwar,IN,76.55,overcast clouds,14.8,74.1333,Netalco Connects
178,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
192,Crossville,US,79.48,clear sky,35.949,-85.0269,Hampton Inn Crossville
193,Garowe,SO,80.42,broken clouds,8.4054,48.4845,Curubo Hotel
194,Bubaque,GW,81.52,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
196,Mastic Beach,US,76.05,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
202,Buta,CD,74.41,light rain,2.7858,24.73,Hôtel BOPANDO
206,Beyneu,KZ,70.77,overcast clouds,45.3167,55.2,NUR
207,Serro,BR,83.01,broken clouds,-18.6047,-43.3794,Pousada Mariana
211,Ipanema,BR,73.65,broken clouds,-30.1391,-51.2244,Terra e Brisa
217,Matay,EG,83.1,clear sky,28.419,30.7792,Nag Aespen
218,Apt,FR,70.09,scattered clouds,43.8833,5.4,Vacances ULVF Castel Luberon
220,Kurara,IN,77.92,broken clouds,25.9833,79.9833,Sengar nivas
221,Chardara,KZ,70.34,broken clouds,41.2547,67.9692,Жанаргул
222,Isla Mujeres,MX,84.25,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
223,Kashi,CN,76.21,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
226,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
227,La Libertad,EC,71.26,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
228,Acarau,BR,84.99,scattered clouds,-2.8856,-40.12,castelo pizzaria
230,Manthani,IN,76.57,overcast clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
234,Kaabong,UG,71.31,overcast clouds,3.4836,34.1492,Madona Guest House Kaabong
237,Birjand,IR,73.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
239,Irpa Irpa,BO,82.4,broken clouds,-17.7167,-66.2667,Alojamiento Sumaj
244,Albania,AL,79.25,broken clouds,41.0,20.0,Bora Homestay
247,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
248,Harindanga,IN,81.7,overcast clouds,22.0383,88.3214,Hasanur Builders
251,Saint Anthony,US,75.65,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
255,Glencoe,ZA,71.83,broken clouds,-28.1783,30.147,Lalalapha
259,Korcula,HR,73.56,few clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
260,Dalbandin,PK,84.56,clear sky,28.8947,64.4101,Sanjrani House
261,Hamilton,US,84.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
262,Colesberg,ZA,71.08,overcast clouds,-30.72,25.0972,Bhelekazi Guesthouse
