City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Alto Longa,-5.2511,-42.2103,104.18,17,61,4.88,BR,2022-09-16 18:18:23,broken clouds
1,Saint-Philippe,-21.3585,55.7679,69.39,86,61,15.68,RE,2022-09-16 18:18:23,light rain
2,Ushuaia,-54.8,-68.3,42.46,49,75,10.36,AR,2022-09-16 18:14:12,broken clouds
3,Polyarnyy,69.1989,33.4478,46.99,98,100,12.57,RU,2022-09-16 18:18:24,overcast clouds
4,Cape Town,-33.9258,18.4232,61.27,77,20,6.91,ZA,2022-09-16 18:15:22,few clouds
5,Rovaniemi,66.5,25.7167,51.21,93,100,13.8,FI,2022-09-16 18:18:24,overcast clouds
6,Carnarvon,-24.8667,113.6333,65.21,70,0,14.94,AU,2022-09-16 18:18:25,clear sky
7,Saubara,-12.7375,-38.7686,78.73,62,15,12.71,BR,2022-09-16 18:16:15,few clouds
8,Mabama,-5.1333,32.5333,78.04,28,14,5.3,TZ,2022-09-16 18:18:25,few clouds
9,Mahebourg,-20.4081,57.7,71.26,88,75,19.57,MU,2022-09-16 18:18:26,light intensity shower rain
10,Havoysund,70.9963,24.6622,46.63,88,100,27.29,NO,2022-09-16 18:18:26,light rain
11,Busselton,-33.65,115.3333,58.66,67,63,6.8,AU,2022-09-16 18:18:26,broken clouds
12,Savinka,50.0785,47.0994,64.8,83,100,12.37,RU,2022-09-16 18:18:27,overcast clouds
13,Aripuana,-9.1667,-60.6333,104.0,23,4,1.95,BR,2022-09-16 18:18:27,clear sky
14,Bredasdorp,-34.5322,20.0403,57.6,90,83,12.8,ZA,2022-09-16 18:18:28,broken clouds
15,Vardo,70.3705,31.1107,46.38,93,100,20.71,NO,2022-09-16 18:18:28,overcast clouds
16,Verkhnyaya Inta,65.9811,60.3094,53.28,70,100,10.42,RU,2022-09-16 18:18:28,overcast clouds
17,Chuy,-33.6971,-53.4616,65.68,55,1,14.23,UY,2022-09-16 18:18:29,clear sky
18,Marsabit,2.3284,37.9899,72.18,40,17,20.27,KE,2022-09-16 18:18:29,few clouds
19,Hithadhoo,-0.6,73.0833,81.66,69,0,5.1,MV,2022-09-16 18:18:29,clear sky
20,Belmonte,-15.8631,-38.8828,78.64,61,85,7.05,BR,2022-09-16 18:18:29,overcast clouds
21,Mar Del Plata,-38.0023,-57.5575,71.62,46,75,18.41,AR,2022-09-16 18:17:19,broken clouds
22,Santo Antonio Do Ica,-3.1022,-67.9397,90.41,50,100,2.01,BR,2022-09-16 18:18:30,overcast clouds
23,Jamestown,42.097,-79.2353,76.01,52,75,5.75,US,2022-09-16 18:17:28,broken clouds
24,Cayenne,4.9333,-52.3333,91.44,62,75,10.36,GF,2022-09-16 18:14:49,broken clouds
25,Gostyn,51.8825,17.0123,56.05,67,89,11.83,PL,2022-09-16 18:18:31,overcast clouds
26,Kalininsk,51.5,44.4758,57.29,97,100,7.76,RU,2022-09-16 18:18:32,overcast clouds
27,Ugoofaaru,5.6667,73.0,81.36,71,8,5.93,MV,2022-09-16 18:18:33,clear sky
28,Hermanus,-34.4187,19.2345,60.8,90,84,11.59,ZA,2022-09-16 18:14:22,light rain
29,Sayyan,15.1718,44.3244,67.86,29,86,5.37,YE,2022-09-16 18:18:33,overcast clouds
30,Pointe-Noire,-4.7761,11.8635,74.8,84,93,7.52,CG,2022-09-16 18:18:33,overcast clouds
31,Lola,7.8,-8.5333,75.87,86,95,3.09,GN,2022-09-16 18:18:34,light rain
32,Saint-Pierre,-21.3393,55.4781,69.48,78,0,14.97,RE,2022-09-16 18:17:04,clear sky
33,Namibe,-15.1961,12.1522,67.23,90,47,8.68,AO,2022-09-16 18:16:59,scattered clouds
34,Kruisfontein,-34.0033,24.7314,59.99,85,61,9.66,ZA,2022-09-16 18:18:35,broken clouds
35,Bonavista,48.6499,-53.1147,55.85,88,97,15.99,CA,2022-09-16 18:18:35,light rain
36,Port Alfred,-33.5906,26.891,63.18,90,82,1.99,ZA,2022-09-16 18:18:36,broken clouds
37,Juruti,-2.1522,-56.0922,101.26,26,64,5.12,BR,2022-09-16 18:18:36,broken clouds
38,Cidreira,-30.1811,-50.2056,63.88,68,6,13.13,BR,2022-09-16 18:18:37,clear sky
39,East London,-33.0153,27.9116,63.54,94,40,9.22,ZA,2022-09-16 18:18:38,scattered clouds
40,Caravelas,-17.7125,-39.2481,80.28,59,92,8.95,BR,2022-09-16 18:18:39,overcast clouds
41,Mezhevoy,55.1711,58.7814,51.55,72,100,3.49,RU,2022-09-16 18:18:39,overcast clouds
42,Port Elizabeth,-33.918,25.5701,61.09,88,20,16.11,ZA,2022-09-16 18:15:44,few clouds
43,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.91,59,60,8.9,BR,2022-09-16 18:18:40,broken clouds
44,Lesnoye,58.2841,35.5158,48.06,94,90,4.88,RU,2022-09-16 18:18:40,overcast clouds
45,Stephenville,32.2207,-98.2023,90.25,44,40,9.22,US,2022-09-16 18:18:40,scattered clouds
46,Touros,-5.1989,-35.4608,81.9,57,19,15.95,BR,2022-09-16 18:18:40,few clouds
47,Amapa,1.0,-52.0,96.89,32,32,4.56,BR,2022-09-16 18:18:41,scattered clouds
48,Zabol,32.25,67.25,67.98,17,0,10.85,AF,2022-09-16 18:18:41,clear sky
49,Camacha,33.0833,-16.3333,72.82,78,75,14.97,PT,2022-09-16 18:18:42,broken clouds
50,Ormara,25.2088,64.6357,79.88,88,25,12.71,PK,2022-09-16 18:18:42,scattered clouds
51,Victoria,22.2855,114.1577,87.33,72,18,4.0,HK,2022-09-16 18:16:54,few clouds
52,Lodwar,3.1191,35.5973,88.9,30,8,11.72,KE,2022-09-16 18:18:42,clear sky
53,Port Blair,11.6667,92.75,78.84,94,40,2.3,IN,2022-09-16 18:18:43,mist
54,Maragogi,-9.0122,-35.2225,77.99,63,84,8.08,BR,2022-09-16 18:15:54,broken clouds
55,Cockburn Town,21.4612,-71.1419,84.06,68,24,18.3,TC,2022-09-16 18:17:43,few clouds
56,Bengkulu,-3.8004,102.2655,75.15,91,98,3.56,ID,2022-09-16 18:18:43,overcast clouds
57,Hualmay,-11.0964,-77.6139,67.42,70,36,9.93,PE,2022-09-16 18:18:44,scattered clouds
58,Dingle,10.9995,122.6711,75.02,94,100,5.48,PH,2022-09-16 18:18:45,overcast clouds
59,Codrington,-38.2667,141.9667,50.9,83,100,17.43,AU,2022-09-16 18:18:45,overcast clouds
60,Hornepayne,49.2138,-84.7705,56.43,68,100,9.31,CA,2022-09-16 18:18:46,overcast clouds
61,Qasigiannguit,68.8193,-51.1922,41.25,87,100,4.43,GL,2022-09-16 18:18:47,overcast clouds
62,Businga,3.3333,20.8833,78.21,76,94,0.98,CD,2022-09-16 18:18:47,overcast clouds
63,Marseille,43.3333,5.5,72.59,42,7,11.99,FR,2022-09-16 18:18:48,clear sky
64,Shetpe,44.1667,52.1167,71.56,36,83,2.51,KZ,2022-09-16 18:18:48,broken clouds
65,Parauna,-16.9478,-50.4486,93.06,24,9,8.16,BR,2022-09-16 18:18:49,clear sky
66,Iqaluit,63.7506,-68.5145,47.93,61,20,5.75,CA,2022-09-16 18:18:49,few clouds
67,Kousseri,12.0769,15.0306,76.42,75,91,4.03,CM,2022-09-16 18:18:49,overcast clouds
68,Bouna,9.2667,-3.0,74.26,89,100,2.42,CI,2022-09-16 18:18:50,light rain
69,Talnakh,69.4865,88.3972,29.41,84,32,5.03,RU,2022-09-16 18:18:50,scattered clouds
70,Nevers,46.9167,3.3333,57.78,67,0,4.61,FR,2022-09-16 18:18:50,clear sky
71,Upernavik,72.7868,-56.1549,38.52,90,81,10.47,GL,2022-09-16 18:14:28,broken clouds
72,Teghra,25.4833,85.95,82.29,79,91,4.63,IN,2022-09-16 18:18:51,overcast clouds
73,Saint George,37.1041,-113.5841,85.62,40,0,4.0,US,2022-09-16 18:18:37,clear sky
74,Quatre Cocos,-20.2078,57.7625,71.1,77,18,15.21,MU,2022-09-16 18:18:51,light rain
75,Jalu,29.0331,21.5482,85.95,24,0,7.02,LY,2022-09-16 18:18:52,clear sky
76,Puerto Carreno,6.189,-67.4859,89.78,57,98,8.23,CO,2022-09-16 18:18:52,overcast clouds
77,Sao Joao Da Barra,-21.6403,-41.0511,68.09,91,100,14.45,BR,2022-09-16 18:18:53,overcast clouds
78,Vestmannaeyjar,63.4427,-20.2734,49.19,93,100,5.75,IS,2022-09-16 18:18:53,drizzle
79,Lagoa,39.05,-27.9833,73.09,84,81,15.39,PT,2022-09-16 18:18:54,light rain
80,Pontes E Lacerda,-15.2261,-59.3353,98.38,22,35,3.18,BR,2022-09-16 18:18:54,scattered clouds
81,Necochea,-38.5473,-58.7368,69.12,41,88,21.07,AR,2022-09-16 18:18:54,overcast clouds
82,Laguna,38.421,-121.4238,76.33,61,0,3.44,US,2022-09-16 18:18:55,clear sky
83,Mocuba,-16.8392,36.9856,71.33,78,12,7.85,MZ,2022-09-16 18:18:55,few clouds
84,Torbay,47.6666,-52.7314,58.57,91,75,23.02,CA,2022-09-16 18:18:56,light rain
85,Ndele,8.4109,20.6473,71.24,95,100,2.68,CF,2022-09-16 18:18:56,overcast clouds
86,Tranas,58.0372,14.9782,47.7,93,75,5.75,SE,2022-09-16 18:18:57,broken clouds
87,Khakhea,-24.6895,23.494,73.29,18,3,9.08,BW,2022-09-16 18:18:57,clear sky
88,Cefalu,38.0386,14.0229,83.53,85,41,4.0,IT,2022-09-16 18:17:34,scattered clouds
89,Ostrovnoy,68.0531,39.5131,48.49,97,100,4.68,RU,2022-09-16 18:18:58,overcast clouds
90,Suleja,9.1758,7.1808,74.39,92,97,2.08,NG,2022-09-16 18:18:59,moderate rain
91,Bahia Honda,22.9036,-83.1592,88.5,59,64,6.8,CU,2022-09-16 18:18:59,broken clouds
92,General Roca,-39.0333,-67.5833,79.63,14,100,7.54,AR,2022-09-16 18:18:59,overcast clouds
93,Pitelino,54.5777,41.8145,59.45,90,100,9.75,RU,2022-09-16 18:19:00,overcast clouds
94,Chinsali,-10.5414,32.0816,71.65,34,15,7.4,ZM,2022-09-16 18:19:00,few clouds
95,San-Pedro,4.7485,-6.6363,76.14,88,98,9.8,CI,2022-09-16 18:19:00,overcast clouds
96,Belyy Yar,53.6039,91.3903,45.86,65,0,6.71,RU,2022-09-16 18:19:01,clear sky
97,Mumbwa,-14.9783,27.0619,70.92,32,0,4.41,ZM,2022-09-16 18:19:01,clear sky
98,Hammerfest,70.6634,23.6821,46.85,93,75,20.71,NO,2022-09-16 18:19:01,broken clouds
99,Dolores,-36.3132,-57.6792,69.85,43,62,17.02,AR,2022-09-16 18:19:02,broken clouds
100,Maloyaroslavets,55.0146,36.4719,50.45,93,85,6.53,RU,2022-09-16 18:19:02,overcast clouds
101,Sao Filipe,14.8961,-24.4956,80.24,77,72,13.69,CV,2022-09-16 18:19:03,broken clouds
102,Vila Velha,-20.3297,-40.2925,73.35,90,100,13.8,BR,2022-09-16 18:17:18,overcast clouds
103,Clyde River,70.4692,-68.5914,39.43,93,100,10.36,CA,2022-09-16 18:19:04,fog
104,Guiberoua,6.2392,-6.1727,73.47,98,100,3.67,CI,2022-09-16 18:19:04,moderate rain
