City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Wladyslawowo,PL,2022-09-14 18:18:52,54.7909,18.4009,58.55,75,95,15.1
1,Avarua,CK,2022-09-14 18:18:52,-21.2078,-159.775,75.25,78,40,13.8
2,Orocue,CO,2022-09-14 18:18:52,4.7912,-71.3354,90.68,52,29,6.2
3,Kavieng,PG,2022-09-14 18:18:53,-2.5744,150.7967,81.7,74,48,16.4
4,Mareeba,AU,2022-09-14 18:18:53,-17.0,145.4333,66.92,96,62,3.0
5,Naze,JP,2022-09-14 18:18:53,28.3667,129.4833,81.52,84,45,18.61
6,Castro,BR,2022-09-14 18:18:53,-24.7911,-50.0119,57.76,94,100,3.58
7,Dikson,RU,2022-09-14 18:18:54,73.5069,80.5464,38.17,74,51,8.57
8,Bambous Virieux,MU,2022-09-14 18:18:54,-20.3428,57.7575,71.85,68,40,8.05
9,Ushuaia,AR,2022-09-14 18:18:54,-54.8,-68.3,46.06,36,20,10.36
10,New Norfolk,AU,2022-09-14 18:18:54,-42.7826,147.0587,40.91,63,47,2.71
11,Trabzon,TR,2022-09-14 18:18:55,40.9167,39.8333,62.69,77,75,8.05
12,Thompson,CA,2022-09-14 18:18:55,55.7435,-97.8558,62.76,48,75,11.5
13,Vila Franca Do Campo,PT,2022-09-14 18:14:51,37.7167,-25.4333,81.19,81,23,11.16
14,Barcelos,PT,2022-09-14 18:16:41,41.5388,-8.6151,69.85,91,76,6.55
15,Klaksvik,FO,2022-09-14 18:18:56,62.2266,-6.589,49.12,82,36,21.23
16,Narsaq,GL,2022-09-14 18:18:56,60.9167,-46.05,53.82,56,99,3.67
17,Hilo,US,2022-09-14 18:18:56,19.7297,-155.09,83.28,80,100,5.75
18,Saskylakh,RU,2022-09-14 18:18:56,71.9167,114.0833,30.38,83,92,4.07
19,Bluff,NZ,2022-09-14 18:18:57,-46.6,168.3333,46.8,75,94,28.95
20,Rikitea,PF,2022-09-14 18:18:57,-23.1203,-134.9692,70.84,73,94,11.56
21,Katsuura,JP,2022-09-14 18:17:02,35.1333,140.3,73.27,74,97,15.66
22,Kaitangata,NZ,2022-09-14 18:18:57,-46.2817,169.8464,36.23,89,25,9.19
23,Hobart,AU,2022-09-14 18:17:08,-42.8794,147.3294,41.25,82,22,2.3
24,Jamestown,US,2022-09-14 18:18:58,42.097,-79.2353,74.01,57,75,14.97
25,Busselton,AU,2022-09-14 18:18:58,-33.65,115.3333,56.28,70,87,13.13
26,Barrow,US,2022-09-14 18:18:58,71.2906,-156.7887,33.82,93,100,23.02
27,Puerto Ayora,EC,2022-09-14 18:18:59,-0.7393,-90.3518,76.96,95,100,5.99
28,Byron Bay,AU,2022-09-14 18:18:59,-28.65,153.6167,54.95,84,83,3.0
29,Faanui,PF,2022-09-14 18:18:59,-16.4833,-151.75,77.25,74,46,21.05
30,Saldanha,ZA,2022-09-14 18:18:59,-33.0117,17.9442,60.85,87,55,15.52
31,Slonim,BY,2022-09-14 18:19:00,53.0867,25.3219,52.93,84,69,6.29
32,Cabo San Lucas,MX,2022-09-14 18:19:00,22.8909,-109.9124,92.61,62,0,10.36
33,Whitley Bay,GB,2022-09-14 18:15:25,55.0397,-1.4471,57.81,76,75,0.0
34,Tautira,PF,2022-09-14 18:19:00,-17.7333,-149.15,77.05,73,90,19.91
35,Faya,SA,2022-09-14 18:19:01,18.3851,42.4509,71.71,46,70,2.68
36,Lebu,CL,2022-09-14 18:19:01,-37.6167,-73.65,55.98,64,76,7.76
37,Korem,ET,2022-09-14 18:19:02,12.5058,39.5228,59.13,79,78,9.78
38,Kodiak,US,2022-09-14 18:14:24,57.79,-152.4072,51.31,87,100,4.61
39,Torbay,CA,2022-09-14 18:15:46,47.6666,-52.7314,65.28,84,75,8.05
40,Sunndalsora,NO,2022-09-14 18:19:02,62.6754,8.5515,50.43,93,100,4.7
41,Rundu,NA,2022-09-14 18:19:03,-17.9333,19.7667,76.82,17,30,7.31
42,Kapaa,US,2022-09-14 18:19:03,22.0752,-159.319,80.92,85,75,11.5
43,Oistins,BB,2022-09-14 18:17:44,13.0667,-59.5333,89.69,62,20,16.11
44,Timra,SE,2022-09-14 18:19:04,62.487,17.3257,52.68,93,75,4.61
45,Severo-Kurilsk,RU,2022-09-14 18:19:04,50.6789,156.125,49.82,87,33,13.42
46,Vestmannaeyjar,IS,2022-09-14 18:19:04,63.4427,-20.2734,50.99,71,0,13.8
47,Moyale,KE,2022-09-14 18:19:05,3.5167,39.0584,74.89,44,78,12.08
48,Toyooka,JP,2022-09-14 18:19:05,35.5333,134.8333,71.15,94,85,0.76
49,Albany,US,2022-09-14 18:14:57,42.6001,-73.9662,75.45,66,46,1.01
50,Carutapera,BR,2022-09-14 18:19:06,-1.195,-46.02,85.69,62,54,11.14
51,Reyes,BO,2022-09-14 18:19:06,-14.3167,-67.3833,66.36,94,100,5.75
52,Airai,TL,2022-09-14 18:19:07,-8.9266,125.4092,58.96,60,95,2.89
53,Fortuna,US,2022-09-14 18:19:07,40.5982,-124.1573,70.93,69,100,3.44
54,Mataura,NZ,2022-09-14 18:19:08,-46.1927,168.8643,46.47,98,31,3.27
55,Ambilobe,MG,2022-09-14 18:19:08,-13.2,49.05,72.93,61,70,6.46
56,Egvekinot,RU,2022-09-14 18:19:09,66.3167,-179.1667,35.02,97,100,7.36
57,Ulladulla,AU,2022-09-14 18:19:09,-35.35,150.4667,50.23,85,99,6.51
58,Nishihara,JP,2022-09-14 18:19:09,26.1842,127.7558,79.88,92,75,13.8
59,Bubaque,GW,2022-09-14 18:19:09,11.2833,-15.8333,79.05,80,100,14.54
60,Dubai,AE,2022-09-14 18:15:50,25.2582,55.3047,95.29,59,0,8.05
61,Mana,GF,2022-09-14 18:19:10,5.6592,-53.7767,87.08,63,14,11.68
62,Khatanga,RU,2022-09-14 18:19:10,71.9667,102.5,34.43,98,100,12.97
63,Cururupu,BR,2022-09-14 18:19:11,-1.8283,-44.8683,86.85,59,35,7.07
64,Maarianhamina,AX,2022-09-14 18:19:11,60.0973,19.9348,55.26,82,100,9.22
65,Zhoucheng,CN,2022-09-14 18:19:11,35.9122,116.3117,67.41,96,1,8.39
66,Vaini,TO,2022-09-14 18:19:12,-21.2,-175.2,73.56,94,20,5.75
67,Daan,CN,2022-09-14 18:19:12,33.0558,106.2958,62.01,95,100,0.13
68,Nikolskoye,RU,2022-09-14 18:19:13,59.7035,30.7861,54.88,87,100,7.45
69,Touros,BR,2022-09-14 18:19:13,-5.1989,-35.4608,82.15,63,28,16.6
70,Anloga,GH,2022-09-14 18:19:13,5.7947,0.8973,77.67,81,46,11.05
71,Ancud,CL,2022-09-14 18:19:14,-41.8697,-73.8203,53.22,80,100,23.89
72,East London,ZA,2022-09-14 18:19:14,-33.0153,27.9116,65.34,94,0,4.61
73,Miri,MY,2022-09-14 18:19:14,4.4148,114.0089,77.14,94,40,2.3
74,Tuktoyaktuk,CA,2022-09-14 18:19:15,69.4541,-133.0374,33.8,93,100,17.27
75,Ribeira Grande,PT,2022-09-14 18:19:15,38.5167,-28.7,77.4,88,75,10.36
76,Biltine,TD,2022-09-14 18:19:15,14.5333,20.9167,90.75,38,43,4.74
77,Yellowknife,CA,2022-09-14 18:18:09,62.456,-114.3525,59.56,55,40,8.05
78,Surgut,RU,2022-09-14 18:19:16,61.25,73.4167,44.78,93,40,2.24
79,Berlevag,NO,2022-09-14 18:19:16,70.8578,29.0864,41.0,70,100,5.75
80,Tasiilaq,GL,2022-09-14 18:19:17,65.6145,-37.6368,41.16,69,44,3.58
81,Veraval,IN,2022-09-14 18:19:17,20.9,70.3667,80.53,88,100,9.93
82,Monkey Bay,MW,2022-09-14 18:19:18,-14.0728,34.9201,77.14,52,79,19.1
83,Chumikan,RU,2022-09-14 18:19:18,54.7183,135.315,47.12,57,23,12.35
84,Quelimane,MZ,2022-09-14 18:19:19,-17.8786,36.8883,75.15,73,40,5.75
85,Chokurdakh,RU,2022-09-14 18:19:19,70.6333,147.9167,36.16,74,100,6.44
86,Verkhnyaya Inta,RU,2022-09-14 18:19:19,65.9811,60.3094,47.82,89,93,14.23
87,Rancho Palos Verdes,US,2022-09-14 18:19:20,33.7445,-118.387,80.78,73,40,9.22
88,Alcudia,ES,2022-09-14 18:19:20,39.8532,3.1214,85.19,66,100,12.48
89,Arraial Do Cabo,BR,2022-09-14 18:19:21,-22.9661,-42.0278,71.56,88,75,13.8
90,Atambua,ID,2022-09-14 18:19:21,-9.1061,124.8925,71.11,85,57,5.03
91,Grindavik,IS,2022-09-14 18:19:21,63.8424,-22.4338,49.95,71,20,13.8
92,Shimoda,JP,2022-09-14 18:19:22,34.6667,138.95,71.1,80,88,16.69
93,Bethel,US,2022-09-14 18:19:22,41.3712,-73.414,79.9,59,75,6.91
94,Sao Sebastiao,BR,2022-09-14 18:19:23,-23.76,-45.4097,67.42,98,99,2.26
95,Ketchikan,US,2022-09-14 18:19:23,55.3422,-131.6461,54.07,94,100,10.36
96,Atuona,PF,2022-09-14 18:15:22,-9.8,-139.0333,76.78,70,24,15.86
97,Hermanus,ZA,2022-09-14 18:19:23,-34.4187,19.2345,57.79,85,40,5.1
98,Suntar,RU,2022-09-14 18:19:24,62.1444,117.6319,43.21,78,100,9.17
99,Sozimskiy,RU,2022-09-14 18:19:24,59.7418,52.2482,48.51,85,100,6.15
100,Salalah,OM,2022-09-14 18:19:24,17.0151,54.0924,80.69,89,100,4.61
101,Nyurba,RU,2022-09-14 18:19:25,63.2842,118.3319,42.87,86,100,8.12
102,Bozeman,US,2022-09-14 18:18:53,45.6796,-111.0386,60.22,77,100,4.74
103,Bambanglipuro,ID,2022-09-14 18:19:25,-7.95,110.2833,76.37,86,45,11.43
104,Tiksi,RU,2022-09-14 18:19:26,71.6872,128.8694,33.84,94,100,15.41
105,Khandagayty,RU,2022-09-14 18:19:26,50.7333,92.05,44.15,76,92,10.31
106,Alice Springs,AU,2022-09-14 18:15:11,-23.7,133.8833,65.75,55,75,5.75
107,Fez,MA,2022-09-14 18:19:26,34.0372,-4.9998,80.85,44,40,10.36
108,Muros,ES,2022-09-14 18:19:26,42.7762,-9.0603,70.09,86,61,12.91
109,Punta Arenas,CL,2022-09-14 18:19:27,-53.15,-70.9167,50.11,34,0,18.41
110,Jiuquan,CN,2022-09-14 18:19:27,39.7432,98.5174,72.59,37,96,3.6
111,Souillac,MU,2022-09-14 18:19:27,-20.5167,57.5167,71.98,68,40,8.05
112,Dingle,PH,2022-09-14 18:19:27,10.9995,122.6711,77.32,87,81,5.26
113,Zyrardow,PL,2022-09-14 18:19:28,52.0488,20.446,63.63,99,100,5.61
114,Colesberg,ZA,2022-09-14 18:19:28,-30.72,25.0972,66.6,25,3,7.83
115,Carroll,US,2022-09-14 18:19:28,39.5501,-77.0164,78.82,56,40,9.22
116,Shingu,JP,2022-09-14 18:19:29,33.7333,135.9833,77.49,90,98,12.01
117,Hami,CN,2022-09-14 18:19:29,42.8,93.45,70.39,23,1,2.51
118,Qaanaaq,GL,2022-09-14 18:19:29,77.484,-69.3632,35.35,76,81,4.05
119,Tura,IN,2022-09-14 18:19:30,25.5198,90.2201,71.83,98,98,4.9
120,Port Alfred,ZA,2022-09-14 18:17:45,-33.5906,26.891,63.18,91,0,12.55
121,Eyl,SO,2022-09-14 18:19:30,7.9803,49.8164,78.24,79,10,22.24
122,Viransehir,TR,2022-09-14 18:19:30,37.2353,39.7631,83.07,29,0,6.55
123,Temir,KZ,2022-09-14 18:19:31,49.1414,57.13,63.12,25,76,17.58
124,Hithadhoo,MV,2022-09-14 18:19:31,-0.6,73.0833,81.95,70,21,5.86
125,Ishim,RU,2022-09-14 18:19:31,56.1128,69.4902,53.35,55,98,2.28
126,Algiers,DZ,2022-09-14 18:19:32,36.7525,3.042,78.62,69,75,10.36
127,Sabha,LY,2022-09-14 18:19:32,27.0377,14.4283,90.12,18,0,9.95
128,Bredasdorp,ZA,2022-09-14 18:19:32,-34.5322,20.0403,54.1,85,33,5.12
129,San Quintin,MX,2022-09-14 18:19:33,30.4833,-115.95,70.65,80,94,8.1
130,Venezuela,VE,2022-09-14 18:17:14,8.0,-66.0,89.67,51,62,8.25
131,Ati,TD,2022-09-14 18:19:33,13.2154,18.3353,85.55,62,97,9.91
132,Damaturu,NG,2022-09-14 18:19:33,11.747,11.9608,81.93,71,28,8.77
133,Butaritari,KI,2022-09-14 18:15:23,3.0707,172.7902,81.61,70,99,14.63
134,Provideniya,RU,2022-09-14 18:19:34,64.3833,-173.3,45.18,93,100,7.9
135,Valle Hermoso,MX,2022-09-14 18:19:34,25.6667,-97.8333,87.89,43,27,9.91
136,Manakara,MG,2022-09-14 18:19:34,-22.1333,48.0167,68.49,79,22,5.59
137,Tilichiki,RU,2022-09-14 18:19:35,60.4667,166.1,41.47,84,99,13.18
138,Zhigansk,RU,2022-09-14 18:19:35,66.7697,123.3711,36.28,95,96,10.85
139,Ilulissat,GL,2022-09-14 18:19:36,69.2167,-51.1,42.82,87,75,3.44
140,Rosario,AR,2022-09-14 18:14:50,-32.9468,-60.6393,78.82,26,0,3.44
141,Itoman,JP,2022-09-14 18:19:36,26.1247,127.6694,80.62,91,20,13.8
142,Kozhva,RU,2022-09-14 18:19:36,65.1073,57.0459,48.18,88,87,7.0
143,Benghazi,LY,2022-09-14 18:19:36,32.1167,20.0667,79.5,56,0,14.7
144,Longyearbyen,SJ,2022-09-14 18:19:37,78.2186,15.6401,31.84,86,40,2.3
145,Edgewater,US,2022-09-14 18:16:46,28.9889,-80.9023,91.29,70,40,11.5
146,Belyy Yar,RU,2022-09-14 18:19:37,53.6039,91.3903,44.85,100,75,0.0
147,Namibe,AO,2022-09-14 18:19:37,-15.1961,12.1522,66.87,90,22,9.48
148,Lagoa,PT,2022-09-14 18:19:38,39.05,-27.9833,73.45,88,71,18.21
149,Mahebourg,MU,2022-09-14 18:19:38,-20.4081,57.7,71.89,68,40,8.05
150,Betioky,MG,2022-09-14 18:19:38,-23.7167,44.3833,68.02,65,0,14.83
151,Malartic,CA,2022-09-14 18:19:38,48.1335,-78.1328,53.71,61,96,12.82
152,Emerald,AU,2022-09-14 18:15:11,-23.5333,148.1667,54.34,85,31,8.43
153,Carnarvon,AU,2022-09-14 18:19:39,-24.8667,113.6333,62.67,62,46,25.05
154,Kimberley,ZA,2022-09-14 18:19:39,-28.7323,24.7623,68.38,24,6,7.56
155,Ajdabiya,LY,2022-09-14 18:19:39,30.7554,20.2263,78.51,55,0,15.75
156,Yerbogachen,RU,2022-09-14 18:19:39,61.2767,108.0108,41.0,81,100,5.95
157,Guerrero Negro,MX,2022-09-14 18:15:04,27.9769,-114.0611,78.71,62,0,10.76
158,Prince Rupert,CA,2022-09-14 18:17:46,54.3161,-130.3201,53.69,100,100,6.91
159,Acapulco,MX,2022-09-14 18:17:48,16.8634,-99.8901,84.02,74,100,8.05
160,Rawah,IQ,2022-09-14 18:19:40,34.4816,41.9093,87.03,28,0,7.99
161,Cadillac,US,2022-09-14 18:16:16,44.2519,-85.4012,71.8,56,0,9.22
162,Amarillo,US,2022-09-14 18:15:07,35.222,-101.8313,84.34,46,0,19.57
163,Tessalit,ML,2022-09-14 18:19:40,20.1986,1.0114,95.92,21,65,14.7
164,Burgeo,CA,2022-09-14 18:19:41,47.6167,-57.6152,63.45,84,17,11.41
165,Yarim,YE,2022-09-14 18:19:41,14.298,44.3779,59.07,76,89,0.6
166,Shache,CN,2022-09-14 18:19:41,38.4167,77.2406,75.7,21,53,2.66
167,Havelock,US,2022-09-14 18:19:41,34.8791,-76.9013,84.15,60,100,1.99
168,Aktau,KZ,2022-09-14 18:19:42,43.65,51.2,68.58,59,35,17.22
169,Kayes,ML,2022-09-14 18:19:42,14.0,-11.0,86.95,71,100,3.09
170,Mar Del Plata,AR,2022-09-14 18:15:28,-38.0023,-57.5575,57.22,83,0,8.99
171,Bitin,PH,2022-09-14 18:19:42,14.0939,121.2128,74.34,90,83,3.36
172,Zboriv,UA,2022-09-14 18:19:43,49.6648,25.141,58.35,75,100,9.8
173,Toktogul,KG,2022-09-14 18:17:16,41.8708,72.9402,66.81,29,0,1.52
174,Harper,LR,2022-09-14 18:19:43,4.375,-7.7169,77.7,76,99,8.88
175,Mao,ES,2022-09-14 18:18:16,39.8885,4.2658,82.96,83,20,5.75
176,Juneau,US,2022-09-14 18:19:23,58.3019,-134.4197,55.4,88,100,16.11
177,Winnemucca,US,2022-09-14 18:19:44,40.973,-117.7357,69.85,28,100,5.75
178,Saint George,US,2022-09-14 18:19:44,37.1041,-113.5841,77.43,61,75,4.0
179,Georgetown,MY,2022-09-14 18:19:44,5.4112,100.3354,81.9,86,20,3.44
180,Dudhani,IN,2022-09-14 18:19:44,17.3667,76.3667,74.61,84,51,13.58
181,Valparaiso,CL,2022-09-14 18:18:57,-33.0393,-71.6273,71.83,49,0,4.61
182,Roald,NO,2022-09-14 18:19:45,62.5833,6.1333,54.75,82,75,9.22
183,Homer,US,2022-09-14 18:19:45,59.6425,-151.5483,52.77,88,100,4.0
184,Collie,AU,2022-09-14 18:19:45,-33.3667,116.15,46.92,93,61,5.23
185,Constitucion,CL,2022-09-14 18:19:45,-35.3333,-72.4167,60.26,62,27,9.4
186,Port Lincoln,AU,2022-09-14 18:15:45,-34.7333,135.8667,50.94,78,2,12.15
187,Leshukonskoye,RU,2022-09-14 18:19:46,64.8989,45.7622,45.81,82,15,5.46
188,Markala,ML,2022-09-14 18:19:46,13.7021,-6.0659,87.94,58,71,6.17
189,Chuy,UY,2022-09-14 18:19:46,-33.6971,-53.4616,60.03,72,12,10.69
190,Umm Kaddadah,SD,2022-09-14 18:19:47,13.6017,26.6876,88.59,43,64,8.97
191,Mae Sot,TH,2022-09-14 18:19:47,16.7167,98.5667,72.61,98,95,2.24
192,Hamilton,US,2022-09-14 18:19:07,39.1834,-84.5333,80.74,63,75,3.44
193,Bengkulu,ID,2022-09-14 18:19:47,-3.8004,102.2655,74.84,89,97,3.89
194,Matagami,CA,2022-09-14 18:17:43,49.7502,-77.6328,51.91,66,100,16.11
195,College,US,2022-09-14 18:17:49,64.8569,-147.8028,50.58,94,100,9.22
196,Kaz,RU,2022-09-14 18:19:48,52.9113,87.3105,42.51,92,100,2.28
197,Port Hardy,CA,2022-09-14 18:19:48,50.6996,-127.4199,50.18,100,100,3.44
198,North Bend,US,2022-09-14 18:19:48,43.4065,-124.2243,70.25,94,100,0.0
199,Tommot,RU,2022-09-14 18:19:49,58.9564,126.2925,36.66,85,14,7.09
200,Poum,NC,2022-09-14 18:19:49,-20.2333,164.0167,73.62,76,65,16.31
201,Meulaboh,ID,2022-09-14 18:19:49,4.1363,96.1285,76.42,88,97,3.87
202,Agirish,RU,2022-09-14 18:19:50,61.9247,63.0231,44.82,92,24,4.61
203,Paita,PE,2022-09-14 18:19:50,-5.0892,-81.1144,70.9,67,68,15.84
204,Port Elizabeth,ZA,2022-09-14 18:19:50,-33.918,25.5701,62.31,87,0,4.61
205,Aklavik,CA,2022-09-14 18:19:50,68.2191,-135.0107,39.2,87,100,9.22
206,Lavrentiya,RU,2022-09-14 18:19:51,65.5833,-171.0,43.25,95,97,3.42
207,Melo,UY,2022-09-14 18:19:51,-32.3667,-54.1833,64.72,57,3,9.31
208,Chitipa,MW,2022-09-14 18:19:51,-9.7024,33.2697,65.25,53,28,10.25
209,Olafsvik,IS,2022-09-14 18:19:52,64.8945,-23.7142,46.45,67,78,5.14
210,Chapais,CA,2022-09-14 18:19:52,49.7834,-74.8492,53.38,62,100,14.79
